frame,time_video_s,marker_detected_raw,blue_x_mm,blue_y_mm,yellow_x_mm,yellow_y_mm,center_x_mm,center_y_mm,heading_rad,marker_separation_mm,speed_playback_mm_s,turn_led_blue_pixels,turn_led_active
0,0.0,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
1,0.0335255464664074,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
2,0.0670510929328148,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
3,0.1005766393992222,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
4,0.1341021858656296,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
5,0.167627732332037,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
6,0.2011532787984444,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
7,0.23467882526485181,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
8,0.2682043717312592,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
9,0.30172991819766665,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
10,0.335255464664074,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
11,0.36878101113048145,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
12,0.4023065575968888,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
13,0.43583210406329626,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
14,0.46935765052970363,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
15,0.5028831969961111,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
16,0.5364087434625184,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
17,0.5699342899289258,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
18,0.6034598363953333,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
19,0.6369853828617407,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
20,0.670510929328148,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
21,0.7040364757945554,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
22,0.7375620222609629,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
23,0.7710875687273703,False,252.61471557617188,317.2738037109375,199.5303497314453,315.3125305175781,226.07254028320312,316.29315185546875,0.03692954586434149,53.12058639526367,0.0,0,False
